BatterySteve 1.2.2 on 1000(01g, TA-082) CPU:[333/166] B:[72]
rt:00:30:00, batt:95, eq:1617 mAh /1800 mAh , bV:3.91V v, life:04:40  min, fps:20
rt:00:30:29, batt:95, eq:1614 mAh /1800 mAh , bV:3.91V v, life:04:39  min, fps:20
rt:00:30:59, batt:95, eq:1611 mAh /1800 mAh , bV:3.91V v, life:04:38  min, fps:20
rt:00:31:30, batt:95, eq:1608 mAh /1800 mAh , bV:3.90V v, life:04:39  min, fps:20
rt:00:31:59, batt:95, eq:1605 mAh /1800 mAh , bV:3.90V v, life:04:36  min, fps:20
rt:00:32:30, batt:95, eq:1603 mAh /1800 mAh , bV:3.90V v, life:04:35  min, fps:20
rt:00:32:59, batt:94, eq:1600 mAh /1800 mAh , bV:3.90V v, life:04:36  min, fps:20
rt:00:33:29, batt:94, eq:1597 mAh /1800 mAh , bV:3.90V v, life:04:36  min, fps:20
rt:00:34:00, batt:94, eq:1594 mAh /1800 mAh , bV:3.89V v, life:04:35  min, fps:20
rt:00:34:29, batt:94, eq:1592 mAh /1800 mAh , bV:3.89V v, life:04:33  min, fps:20
rt:00:34:59, batt:94, eq:1590 mAh /1800 mAh , bV:3.89V v, life:04:36  min, fps:20
rt:00:35:30, batt:94, eq:1587 mAh /1800 mAh , bV:3.89V v, life:04:32  min, fps:20
rt:00:35:59, batt:93, eq:1584 mAh /1800 mAh , bV:3.88V v, life:04:34  min, fps:20
rt:00:36:29, batt:93, eq:1581 mAh /1800 mAh , bV:3.88V v, life:04:34  min, fps:20
rt:00:36:59, batt:93, eq:1578 mAh /1800 mAh , bV:3.88V v, life:04:32  min, fps:20
rt:00:37:29, batt:93, eq:1576 mAh /1800 mAh , bV:3.88V v, life:04:29  min, fps:20
rt:00:38:00, batt:93, eq:1573 mAh /1800 mAh , bV:3.87V v, life:04:28  min, fps:20
rt:00:38:29, batt:93, eq:1570 mAh /1800 mAh , bV:3.87V v, life:04:29  min, fps:20
rt:00:38:59, batt:93, eq:1567 mAh /1800 mAh , bV:3.87V v, life:04:29  min, fps:20
rt:00:39:29, batt:92, eq:1564 mAh /1800 mAh , bV:3.87V v, life:04:29  min, fps:20
rt:00:39:59, batt:92, eq:1561 mAh /1800 mAh , bV:3.87V v, life:04:25  min, fps:20
rt:00:40:30, batt:92, eq:1559 mAh /1800 mAh , bV:3.86V v, life:04:27  min, fps:20
rt:00:40:59, batt:92, eq:1556 mAh /1800 mAh , bV:3.87V v, life:04:25  min, fps:20
rt:00:41:29, batt:92, eq:1553 mAh /1800 mAh , bV:3.86V v, life:04:24  min, fps:20
